CustomerID,Recency,Frequency,Monetary,Segment
12346.0,326,1,77183.6,At Risk
12347.0,2,7,4310.0,VIP
12348.0,75,4,1797.24,Loyal
12349.0,19,1,1757.55,New
12350.0,310,1,334.4,At Risk
12352.0,36,8,2506.04,VIP
12353.0,204,1,89.0,At Risk
12354.0,232,1,1079.4,At Risk
12355.0,214,1,459.4,At Risk
12356.0,23,3,2811.43,New
12357.0,33,1,6207.67,Regular
12358.0,2,2,1168.06,New
12359.0,58,4,6372.58,Loyal
12360.0,52,3,2662.06,Regular
12361.0,287,1,189.9,At Risk
12362.0,3,10,5226.23,VIP
12363.0,110,2,552.0,At Risk
12364.0,8,4,1313.1,Loyal
12365.0,291,2,641.38,At Risk
12367.0,4,1,168.9,New
12370.0,51,4,3545.69,Loyal
12371.0,45,2,1887.96,Regular
12372.0,72,3,1298.04,Regular
12373.0,311,1,364.6,At Risk
12374.0,25,1,742.9300000000001,New
12375.0,11,2,457.5,New
12377.0,315,2,1628.12,At Risk
12378.0,130,1,4008.62,At Risk
12379.0,82,2,852.24,Regular
12380.0,22,4,2724.81,Loyal
12381.0,5,5,1845.31,Loyal
12383.0,185,5,1850.56,Loyal
12384.0,29,2,585.27,New
12386.0,338,2,401.9,At Risk
12388.0,16,6,2780.66,VIP
12390.0,80,1,549.84,Regular
12391.0,22,1,460.89,New
12393.0,72,4,1582.6,Loyal
12394.0,64,2,1272.48,Regular
12395.0,19,12,3018.63,VIP
12397.0,36,2,2409.9,Regular
12398.0,46,1,1635.66,Regular
12399.0,119,4,1108.65,Loyal
12401.0,303,1,84.3,At Risk
12402.0,323,1,225.6,At Risk
12403.0,50,1,427.7,Regular
12405.0,149,1,1710.39,At Risk
12406.0,22,2,3415.3,New
12407.0,50,5,1708.12,Loyal
12408.0,33,5,2888.55,Loyal
12409.0,79,3,11072.67,Regular
12410.0,309,2,693.3299999999999,At Risk
12412.0,75,3,1226.88,Regular
12413.0,67,3,758.1,Regular
12414.0,217,3,562.41,At Risk
12415.0,24,21,124914.53,VIP
12417.0,3,9,3649.1,VIP
12418.0,113,1,668.58,At Risk
12420.0,64,1,600.39,Regular
12421.0,16,4,807.04,Loyal
12422.0,96,3,803.5600000000001,At Risk
12423.0,1,8,1859.31,Loyal
12424.0,163,2,1760.96,At Risk
12425.0,78,1,777.2,Regular
12426.0,195,1,582.73,At Risk
12427.0,22,3,825.8,New
12428.0,26,9,7956.46,VIP
12429.0,9,4,3750.4,Loyal
12430.0,43,1,256.4,Regular
12431.0,36,15,6487.45,VIP
12432.0,43,5,5059.32,Loyal
12433.0,1,7,13375.87,VIP
12434.0,85,2,806.14,Regular
12435.0,80,2,7829.89,Regular
12436.0,100,1,509.01,At Risk
12437.0,2,18,4951.41,VIP
12438.0,14,2,2906.85,New
12441.0,367,1,173.55,At Risk
12442.0,3,1,172.06,New
12444.0,21,5,5005.46,Loyal
12445.0,22,1,133.4,New
12446.0,58,1,1002.31,Regular
12447.0,243,1,476.49,At Risk
12448.0,44,1,449.45,Regular
12449.0,22,4,4067.29,Loyal
12450.0,156,2,197.88,At Risk
12451.0,11,5,9035.52,Loyal
12452.0,17,2,430.57,New
12453.0,134,1,707.09,At Risk
12454.0,56,1,3528.34,Regular
12455.0,73,6,2466.86,VIP
12456.0,44,3,3181.04,Regular
12457.0,66,7,2363.23,VIP
12458.0,71,2,947.4,Regular
12461.0,94,2,826.88,At Risk
12462.0,19,2,1189.59,New
12463.0,53,4,1344.78,Loyal
12464.0,10,8,1212.05,Loyal
12465.0,17,2,742.1899999999999,New
12468.0,188,2,729.5400000000001,At Risk
12471.0,2,30,19824.05,VIP
12472.0,32,7,6572.11,VIP
12473.0,29,5,3938.55,Loyal
12474.0,17,18,7375.79,VIP
12475.0,54,1,723.38,Regular
12476.0,16,11,6816.42,VIP
12477.0,23,6,13219.74,VIP
12478.0,4,1,680.99,New
12479.0,11,1,527.2,New
12480.0,28,4,3281.63,Loyal
12481.0,23,10,5596.32,VIP
12483.0,17,8,2484.98,VIP
12484.0,33,6,4541.72,VIP
12488.0,10,3,1298.66,New
12489.0,336,1,334.93,At Risk
12490.0,5,10,5417.93,VIP
12491.0,39,1,460.4,Regular
12492.0,63,2,263.21000000000004,Regular
12493.0,166,2,433.74,At Risk
12494.0,16,7,1246.1,Loyal
12497.0,82,1,1043.1,Regular
12498.0,21,3,403.7000000000001,New
12500.0,23,11,4257.82,VIP
12501.0,337,1,2169.39,At Risk
12502.0,96,5,3723.87,Loyal
12504.0,18,2,482.05,New
12506.0,233,1,73.5,At Risk
12507.0,134,3,1304.81,At Risk
12508.0,26,2,398.27,New
12509.0,284,1,176.5,At Risk
12510.0,143,2,982.57,At Risk
12512.0,66,2,138.03,Regular
12513.0,113,1,612.29,At Risk
12514.0,267,1,1017.68,At Risk
12515.0,353,1,383.7,At Risk
12516.0,78,2,1312.06,Regular
12517.0,28,5,2502.84,Loyal
12518.0,1,5,2056.89,Loyal
12519.0,64,1,340.84,Regular
12520.0,79,5,2634.26,Loyal
12521.0,143,1,599.68,At Risk
12522.0,39,2,192.72,Regular
12523.0,19,11,1789.77,Loyal
12524.0,9,8,4485.72,VIP
12526.0,1,3,1316.66,New
12527.0,82,3,348.71000000000004,Regular
12528.0,9,6,1933.48,Loyal
12530.0,60,4,1662.28,Loyal
12531.0,15,1,125.22,New
12532.0,30,1,349.83000000000004,New
12534.0,131,1,1089.18,At Risk
12535.0,92,2,716.35,At Risk
12536.0,43,3,12601.830000000002,Regular
12538.0,29,1,363.95,New
12539.0,22,4,5568.35,Loyal
12540.0,20,17,13400.24,VIP
12541.0,30,3,981.18,New
12544.0,36,1,372.7,Regular
12545.0,75,2,1000.39,Regular
12546.0,47,2,1161.5,Regular
12547.0,198,2,207.8,At Risk
12548.0,166,1,95.2,At Risk
12550.0,79,1,964.83,Regular
12551.0,358,1,168.0,At Risk
12552.0,39,2,437.82,Regular
12553.0,8,10,3692.28,VIP
12556.0,50,2,603.71,Regular
12557.0,16,5,11990.96,Loyal
12558.0,8,1,269.96,New
12559.0,311,2,561.71,At Risk
12560.0,5,3,2134.01,New
12561.0,303,1,238.85,At Risk
12562.0,8,7,3781.74,VIP
12564.0,261,1,456.9,At Risk
12565.0,289,1,145.92,At Risk
12566.0,86,1,351.65,Regular
12567.0,23,10,9401.28,VIP
12569.0,2,32,4124.69,VIP
12571.0,40,2,519.61,Regular
12572.0,9,2,1020.42,New
12573.0,227,1,160.54000000000002,At Risk
12574.0,316,1,218.45,At Risk
12576.0,36,5,1315.83,Loyal
12577.0,35,3,657.8,Regular
12578.0,21,2,2794.51,New
12579.0,78,1,440.42,Regular
12580.0,247,1,415.7,At Risk
12581.0,40,1,197.71,Regular
12582.0,239,2,511.36,At Risk
12583.0,3,15,7281.38,VIP
12584.0,4,9,2338.15,VIP
12585.0,234,2,2040.1,At Risk
12586.0,17,1,196.94000000000003,New
12587.0,8,1,144.0,New
12588.0,39,1,214.9,Regular
12589.0,29,2,646.68,New
12590.0,211,2,9864.26,At Risk
12591.0,317,1,452.85,At Risk
12592.0,92,2,437.6,At Risk
12593.0,109,3,418.1,At Risk
12594.0,38,10,3338.2200000000003,VIP
12596.0,51,2,618.27,Regular
12597.0,19,4,3811.22,Loyal
12598.0,10,8,3023.08,VIP
12599.0,29,7,1032.58,Loyal
12600.0,29,10,2599.04,VIP
12601.0,190,5,577.0600000000001,Loyal
12602.0,59,1,153.12,Regular
12603.0,22,1,739.1999999999999,New
12604.0,79,2,254.18,Regular
12607.0,60,1,1579.51,Regular
12609.0,78,3,1126.85,Regular
12610.0,23,5,2099.54,Loyal
12611.0,52,1,1193.32,Regular
12612.0,74,1,704.0400000000001,Regular
12613.0,57,5,3344.38,Loyal
12614.0,278,1,315.6,At Risk
12615.0,2,4,2291.19,Loyal
12616.0,95,2,713.3,At Risk
12617.0,29,1,355.53,New
12618.0,22,1,177.31,New
12619.0,16,9,3641.24,VIP
12620.0,15,3,1339.41,New
12621.0,2,20,13689.67,VIP
12622.0,232,1,180.1,At Risk
12623.0,276,1,305.1,At Risk
12624.0,106,2,641.13,At Risk
12625.0,212,2,2683.82,At Risk
12626.0,23,9,6620.48,VIP
12627.0,11,7,4478.53,VIP
